the_geom,phase,operator,total_occupants,presumed_accident_location,country,presumed_area,date,nature,departure_airport,intended_destination,asn_id,type,mh370,month_and_day_asn_id,month_and_day,year,cartodb_id,created_at,updated_at
0101000020E610000006F4C29D0BAB54C0139D6516A1382440,En route,Fuerza Aérea Argentina,69,off Puerto Limon,Costa Rica,sea,"November 3, 1965",Military,Balboa-Howard air force base in Panama,Comalapa International Airport in El Salvador,19651103-0,Douglas C-54 (DC-4),,19651103-0,2003-11-01,1965,1,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000006AF816D68D4F45C0268BFB8F4CD14540,En route,Continental Air Transport,3,unknown area,Atlantic Ocean,sea,"March 9, 1969",Cargo,Halifax International Airport in Canada,Santa Maria-Vila do Porto Airport in the Azores,19690309-0,Douglas DC-4,,19690309-0,2009-03-01,1969,2,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000A1BAB9F8DB5055C0E19524CFF5752A40,En route,LANICA,3,unknown area,Nicaragua,land,"August 14, 1952",Cargo,Bonanza,"Managua, within Nicaragua",19520814-1,Douglas C-47 (DC-3),,19520814-1,2014-08-01,1952,3,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000055A52DAEF1C662C0FB2477D844663A40,En route,Trans National Airlines,2,"off Honolulu, HI",USA,sea,"July 20, 1979",Ferry/positioning,San Jose Municipal Airport in California,Honolulu International Airport in Hawaii,19790720-2,Douglas DC-3,0,19790720-2,2020-07-01,1979,4,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000F4FA93F8DC09CE3FC6F8307BD976D5BF,En route,Renan,5,between Abidjan and Rundu,Atlantic Ocean,sea,"December 22, 1997",Cargo,"Port Bouet Airport, Ivory Coast,",Rundu Airport in Namibia,19971222-1,Antonov 72,0,19971222-1,2022-12-01,1997,5,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000028B517D176FB5940700B96EA02BA3240,En route,Royal Air Lao,23,between Savannakhet and Vientiane,Laos,land,"February 11, 1972",Domestic Scheduled Passenger,Savannakhet Airport,"Vientiane-Wattay Airport, within Laos",19720211-0,Douglas DC-4,,19720211-0,2011-02-01,1972,6,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000094F8DC09F697244030A182C30B62F3BF,Unknown,Force Aérienne Gabonaises,3,unknown area,Gabon,land,"December 11, 2000",Military,Libreville Airport,"Tchibanga Airport, within Gabon",20001211-0,Embraer 110P1K Bandeirante,0,20001211-0,2011-12-01,2000,7,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000002F6EA301BCC65A406D37C1374D1FE03F,Unknown,Dirgantara Air Services,3,off Batu Island,Indonesia,sea,"June 25, 1992",Ferry/positioning,Seletar Airport in Singapore,"Supadio Airport, Indonesia",19920625-2,CASA/Nurtanio NC-212-A4 Aviocar,0,19920625-2,2025-06-01,1992,8,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000021E868554B1A49C08FC70C54C6894640,En route,Faucett,18,290 km SE off Newfoundland,Atlantic Ocean,sea,"September 11, 1990",Ferry/positioning,Keflavík International Airport in Iceland,Gander Airport in Newfoundland,19900911-0,Boeing 727-247,0,19900911-0,2011-09-01,1990,9,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000018EDF1423A665240A852B3075A834140,En route,PIA,54,between Gilgit and Islamabad,Pakistan,land,"August 25, 1989",Domestic Scheduled Passenger,Gilgit,"Islamabad, within Pakistan",19890825-1,Fokker F-27,0,19890825-1,2025-08-01,1989,10,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
